t1,t2,station,channel,location
1973-05-25T00:00:00.166000Z,1973-05-26T00:00:01.826377Z,S12,MH2,00
1973-05-25T00:19:58.142866Z,1973-05-26T00:00:06.746640Z,S14,MH1,00
1973-05-25T00:19:58.161866Z,1973-05-26T00:00:06.765640Z,S14,MH2,00
1973-05-25T00:19:58.076866Z,1973-05-26T00:00:06.812715Z,S14,SHZ,
1973-05-25T00:00:00.663000Z,1973-05-26T00:00:01.115830Z,S15,MHZ,00
1973-05-25T00:00:00.625000Z,1973-05-26T00:00:01.077830Z,S15,MH1,00
1973-05-25T00:00:00.644000Z,1973-05-26T00:00:01.096830Z,S15,MH2,00
1973-05-25T00:00:00.559000Z,1973-05-26T00:00:01.143906Z,S15,SHZ,
1973-05-25T00:00:00.403000Z,1973-05-26T00:00:02.667151Z,S16,MHZ,00
1973-05-25T00:00:00.365000Z,1973-05-26T00:00:02.629151Z,S16,MH1,00
1973-05-25T00:00:00.384000Z,1973-05-26T00:00:02.648151Z,S16,MH2,00
1973-05-25T00:00:00.299000Z,1973-05-26T00:00:02.695226Z,S16,SHZ,
1973-05-26T00:00:00.286000Z,1973-05-27T00:00:01.342604Z,S12,MHZ,00
1973-05-26T00:00:00.248000Z,1973-05-27T00:00:01.304604Z,S12,MH1,00
1973-05-26T00:00:00.267000Z,1973-05-27T00:00:01.323604Z,S12,MH2,00
1973-05-26T00:00:00.546000Z,1973-05-27T00:00:06.432792Z,S14,MH1,00
1973-05-26T00:00:00.565000Z,1973-05-27T00:00:06.451792Z,S14,MH2,00
1973-05-26T00:00:00.480000Z,1973-05-27T00:00:06.498868Z,S14,SHZ,
1973-05-26T00:00:00.306000Z,1973-05-27T00:00:00.758830Z,S15,MHZ,00
1973-05-26T00:00:00.268000Z,1973-05-27T00:00:00.720830Z,S15,MH1,00
1973-05-26T00:00:00.287000Z,1973-05-27T00:00:00.739830Z,S15,MH2,00
1973-05-26T00:00:00.202000Z,1973-05-27T00:00:00.786906Z,S15,SHZ,
1973-05-26T00:00:00.554000Z,1973-05-27T00:00:01.006830Z,S16,MHZ,00
1973-05-26T00:00:00.516000Z,1973-05-27T00:00:00.968830Z,S16,MH1,00
1973-05-26T00:00:00.535000Z,1973-05-27T00:00:00.987830Z,S16,MH2,00
1973-05-26T00:00:00.450000Z,1973-05-27T00:00:01.034906Z,S16,SHZ,
1973-05-27T00:00:00.343000Z,1973-05-28T00:00:00.192057Z,S12,MHZ,00
1973-05-27T00:00:00.305000Z,1973-05-28T00:00:00.154057Z,S12,MH1,00
1973-05-27T00:00:00.324000Z,1973-05-28T00:00:00.173057Z,S12,MH2,00
1973-05-27T00:00:00.442000Z,1973-05-28T00:00:05.121245Z,S14,MH1,00
1973-05-27T00:00:00.461000Z,1973-05-28T00:00:05.140245Z,S14,MH2,00
1973-05-27T00:00:00.376000Z,1973-05-28T00:00:05.187321Z,S14,SHZ,
1973-05-27T00:00:00.227000Z,1973-05-28T00:00:00.679830Z,S15,MHZ,00
1973-05-27T00:00:00.189000Z,1973-05-28T00:00:00.641830Z,S15,MH1,00
1973-05-27T00:00:00.208000Z,1973-05-28T00:00:00.660830Z,S15,MH2,00
1973-05-27T00:00:00.123000Z,1973-05-28T00:00:00.707906Z,S15,SHZ,
1973-05-27T00:00:00.254180Z,1973-05-27T23:59:53.461727Z,S16,MHZ,00
1973-05-27T00:00:00.216180Z,1973-05-27T23:59:53.423727Z,S16,MH1,00
1973-05-27T00:00:00.235180Z,1973-05-27T23:59:53.442727Z,S16,MH2,00
1973-05-27T00:00:00.150180Z,1973-05-27T23:59:53.489803Z,S16,SHZ,
1973-05-28T00:00:00.519000Z,1973-05-28T23:59:59.764283Z,S12,MHZ,00
1973-05-28T00:00:00.481000Z,1973-05-28T23:59:59.726283Z,S12,MH1,00
1973-05-28T00:00:00.500000Z,1973-05-28T23:59:59.745283Z,S12,MH2,00
1973-05-28T00:00:00.606000Z,1973-05-29T00:00:04.681472Z,S14,MH1,00
1973-05-28T00:00:00.625000Z,1973-05-29T00:00:04.700472Z,S14,MH2,00
1973-05-28T00:00:00.540000Z,1973-05-29T00:00:04.747547Z,S14,SHZ,
1973-05-28T00:00:00.201000Z,1973-05-29T00:00:00.653830Z,S15,MHZ,00
1973-05-28T00:00:00.163000Z,1973-05-29T00:00:00.615830Z,S15,MH1,00
1973-05-28T00:00:00.182000Z,1973-05-29T00:00:00.634830Z,S15,MH2,00
1973-05-28T00:00:00.097000Z,1973-05-29T00:00:00.681906Z,S15,SHZ,
1973-05-28T00:00:00.595000Z,1973-05-29T00:00:01.047830Z,S16,MHZ,00
1973-05-28T00:00:00.557000Z,1973-05-29T00:00:01.009830Z,S16,MH1,00
1973-05-28T00:00:00.576000Z,1973-05-29T00:00:01.028830Z,S16,MH2,00
1973-05-28T00:00:00.491000Z,1973-05-29T00:00:01.075906Z,S16,SHZ,
1973-05-29T00:00:00.311000Z,1973-05-29T23:59:59.556283Z,S12,MHZ,00
1973-05-29T00:00:00.273000Z,1973-05-29T23:59:59.518283Z,S12,MH1,00
1973-05-29T00:00:00.292000Z,1973-05-29T23:59:59.537283Z,S12,MH2,00
1973-05-29T00:00:00.200000Z,1973-05-30T00:00:04.879245Z,S14,MH1,00
1973-05-29T00:00:00.219000Z,1973-05-30T00:00:04.898245Z,S14,MH2,00
1973-05-29T00:00:00.134000Z,1973-05-30T00:00:04.945321Z,S14,SHZ,
1973-05-29T00:00:00.216000Z,1973-05-30T00:00:00.668830Z,S15,MHZ,00
1973-05-29T00:00:00.178000Z,1973-05-30T00:00:00.630830Z,S15,MH1,00
1973-05-29T00:00:00.197000Z,1973-05-30T00:00:00.649830Z,S15,MH2,00
1973-05-29T00:00:00.112000Z,1973-05-30T00:00:00.696906Z,S15,SHZ,
1973-05-29T00:00:00.407000Z,1973-05-30T00:00:00.859830Z,S16,MHZ,00
1973-05-29T00:00:00.369000Z,1973-05-30T00:00:00.821830Z,S16,MH1,00
1973-05-29T00:00:00.388000Z,1973-05-30T00:00:00.840830Z,S16,MH2,00
